"","cluster","Monaco_main","Monaco_fine"
"1","0","CD4+ T cells","Th1 cells"
"2","1","T cells","Non-Vd2 gd T cells"
"3","2","T cells","Non-Vd2 gd T cells"
"4","3","CD4+ T cells","Th1 cells"
"5","4","Basophils","Terminal effector CD4 T cells"
"6","5","B cells","Exhausted B cells"
"7","6","B cells","Exhausted B cells"
"8","7","Basophils","Terminal effector CD4 T cells"
"9","8","T cells","Vd2 gd T cells"
"10","9","Monocytes","Classical monocytes"
"11","10","Basophils","Terminal effector CD4 T cells"
"12","11","B cells","Naive B cells"
"13","12","Monocytes","Intermediate monocytes"
"14","13","NK cells","Natural killer cells"
"15","14","B cells","Plasmablasts"
"16","15","Basophils","Terminal effector CD4 T cells"
"17","16","Basophils","Terminal effector CD4 T cells"
"18","17","Monocytes","Naive B cells"
"19","18","CD4+ T cells","Th1 cells"
"20","19","Dendritic cells","Plasmacytoid dendritic cells"
